Timestamp,Score,"1. Please enter all the name(s) of the protected area(s) that apply.
If there is more than one protected area(s) name(s), please separate them by hitting enter in the answer space below","2. Wildlife health, including infectious and non-infectious diseases, is important to achieve the conservation goals of the protected areas where I work ",3. Pathogens carried by wildlife inhabiting the protected area I work in can affect livestock health    ,4. Pathogens carried by wildlife inhabiting the protected area I work in can affect public health,5. Human or livestock pathogens can affect wildlife populations inhabiting the protected area I work in,"6. Introduced domestic animals (e.g., dogs, cats, cattle, pigs, cats) are a concern for the conservation goals of the protected areas where I work",7. Are dead animals encountered in the protected area? ,8. Are sick or injured animals encountered in the protected area? ,9. Are livestock encountered in the protected area?,"10. How long, on average, are the patrols in the protected area?","11. On average, how many patrols are completed in the protected area in one month?",12. Are healthy wildlife found during patrols (rangers or others) recorded as a specific category of individuals?,12.a Please select one of the choices below to help us understand how healthy wildlife are recorded during a patrol:,12.b Please indicate what type of data are recorded (check all that apply),12.c Are these data entered and stored in SMART Desktop?,12.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,13. Are dead wildlife found during patrols recorded as a specific category of individuals? ,13.a Please select one of the choices below to help us understand how dead wildlife are recorded during a patrol:,13.b Please indicate what type of data are recorded (check all that apply),13.c Are these data entered and stored in SMART Desktop?,13.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,14. Are injured wildlife found during patrols recorded as a specific category of individuals? ,14.a Please select one of the choices below to help us understand how injured wildlife are recorded during a patrol:,14.b Please indicate what type of data are recorded (check all that apply),14.c Are these data entered and stored in SMART Desktop?,14.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded?,15. Are sick wildlife found during patrols recorded as a specific category of individuals? ,15.a Please select one of the choices below to help us understand how sick wildlife are recorded during a patrol:,15.b Please indicate what type of data are recorded (check all that apply),15.c Are these data entered and stored in SMART Desktop?,15.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,"16. Are domestic animals found in the protected area (free-ranging, captive, on a farm)?","17. If observed on a patrol, is the presence of domestic animals recorded?",17.a Are these data entered in SMART Desktop?,"18. Is the health status of the observed domestic animals recorded (healthy, sick or injured, dead) recorded?",18.a Are these data entered in SMART Desktop?,19. Is any other data relevant to wildlife health collected during the patrols?,"20. If no data are collected on dead, sick, or injured wildlife, please select the best explanation(s) for why this information is not collected (check all that apply)",21. What version of SMART Desktop is currently used in the protected area?,22. Is SMART Connect available to manage and transfer information between SMART Desktop and SMART Mobile? ,22.a Are there plans to set up SMART Connect instance and when?,23. Is SMART fully rolled-out in the protected area(s) you work in or is it being piloted?,24. Would you be interested in adding a set of categories and attributes to your data model in order to facilitate the collection of wildlife health data (morbidity/mortality findings and events)? ,25. Please select the option that best describes your position
12/6/2022 11:41:38,,Reserva Comunal Yanesha,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Never,Occasionally,Between four days and a week,7,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No por el momento,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",SMART 6.3,No,"Si, pero aún no se tiene fecha",Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 11:44:25,,Reserva Comunal Ashaninka ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Always,Never,Never,Between two and five days,3,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife is recorded in another way,"Photographs, Species, Sex, Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife is recorded in another way,"Photographs, Species, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,No,,No,,nunca ,Wildlife disease is not relevant in the protected area,6.3.0.Win64,Yes,,Fully rolled-out,No,Other
12/6/2022 11:45:08,,Zona Reservada Santiago Comaina,Strongly agree,Agree,Agree,Strongly agree,Agree,Sometimes,Rarely,Rarely,Between four days and a week,2,No,,,,,No,,,,,No,,,,,No,,,,,No,No,,No,,no,"Dead, sick or injured wildlife are seldom found",6.3,No,When we have the appropriate equipment like good internet connection on smartphone in the forest.,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 12:15:43,,Santuario Nacional de Huayllay ,Agree,Somewhat Disagree,Agree,Agree,Agree,Sometimes,Occasionally,Always,Between one to two days,10,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Sex, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,No,Si Para el siguiente año ,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 12:31:52,,Parque Nacional Otishi,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Never,Never,Never,Between two and five days,2,No,,,,,No,,,,,No,,,,,No,,,,,No,No,,No,,No,"We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,No,"Si hay planes, pero primero tenemos que instalar internet en los PVC. Para ello se requiere presupuesto que el ANP no cuenta.",Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 12:33:38,,Naldo Auber  Peña Manosalva ,Agree,Strongly agree,Agree,Agree,Neutral,Occasionally,Occasionally,Very rarely,Between one to two days,2,Yes,Each individual healthy animal is recorded as an individual observation,Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,No,"Dead, sick or injured wildlife are seldom found",6.3.0,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 13:27:06,,RESERVA COMUNAL EL SIRA,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Very rarely,Very rarely,Very frequently,Between one to two days,4,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",7.5.2,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 13:38:48,,SANTUARIO NACIONAL CORDILLERA DE COLAN,Agree,Neutral,Agree,Strongly agree,Strongly agree,Very rarely,Very rarely,Rarely,Between two and five days,2,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,Yes,Yes,-,"Dead, sick or injured wildlife are seldom found",6.3.0,Yes,,Fully rolled-out,No,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 13:38:48,,PARQUE NACIONAL ALTO PURUS,Strongly agree,Agree,Strongly agree,Agree,Somewhat Disagree,Sometimes,Very rarely,Never,Between two and five days,2,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Species, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Species, Anomalies/signs if any, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,No,,No,,No,Lack of expertise on how to properly record this information,7.5.2,Yes,,Fully rolled-out,Yes,Other
12/6/2022 13:40:28,,Zona Reservada Ancón ,Agree,Somewhat Disagree,Agree,Disagree,Neutral,Very frequently,Very frequently,Never,Between one to two days,21,No,,,,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Sex, Anomalies/signs if any, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,No,,No,,Actividades ,Lack of expertise on how to properly record this information,7.6,Yes,,Fully rolled-out,No,Other
12/6/2022 13:43:56,,William Zeña sencio,Agree,Agree,Disagree,Disagree,Disagree,Very rarely,Never,Always,Less than a day,29,No,,,,,No,,,,,No,,,,,No,,,,,No,Yes,Yes,No,,Si es importante registrar los datos de salud silvestre( animales muertos  heridos ),"We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,No,No,Fully rolled-out,Yes,Other
12/6/2022 13:48:04,,Reserva Nacional Illescas,Agree,Neutral,Agree,Disagree,Disagree,Very rarely,Sometimes,Very frequently,Less than a day,8,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Body condition",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,No,It would add too much work or time to the patrol,6.23,No,NO,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 13:50:12,,Reserva Nacional Pacaya Samiria,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Very rarely,Very rarely,Occasionally,Between one to two days,100,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife is recorded in another way,"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,No,,No,,No.,"Dead, sick or injured wildlife are seldom found",7.5.2,Yes,,Fully rolled-out,No,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 13:54:52,,SINANPE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Occasionally,Very rarely,Rarely,Between one to two days,5,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Body condition",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife is recorded in another way,"Species, Carcass condition, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),"Species, Anomalies/signs if any",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),"Species, Anomalies/signs if any",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,no ,"Dead, sick or injured wildlife are seldom found, It would add too much work or time to the patrol",6.3,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 14:15:00,,PARQUE NACIONAL HUASCARAN,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Occasionally,Very rarely,Always,Between two and five days,70,No,,,,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,Yes,Yes,Yes,Yes,ENVENAMIENTO,Lack of expertise on how to properly record this information,6.3,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 14:20:56,,Alder Feijoo,Agree,Agree,Agree,Agree,Strongly agree,Very rarely,Very rarely,Never,Less than a day,9,No,,,,,No,,,,,No,,,,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Suspect cause of disease",None of these items are recorded in the corresponding SMART Conservation Area,informe,No,Yes,Yes,Yes,Yes,yes,"Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 14:22:03,,SN Megantoni,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Very rarely,Very rarely,Rarely,Less than a day,4,No,,,,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Species, Suspect cause of death, Other",None of these items are recorded in the corresponding SMART Conservation Area,Solo se menciona,No,,,,,No,,,,,No,Yes,Yes,Yes,Yes,No,"Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,Yes,,Partially rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/6/2022 16:54:21,,Reserva Nacional de Lachay,Strongly agree,Neutral,Neutral,Agree,Agree,Rarely,Rarely,Rarely,Less than a day,25,No,,,,,No,,,,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Anomalies/signs if any",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Anomalies/signs if any",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found",7.5.2,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/6/2022 17:27:48,,Reserva Nacional Matsés,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very rarely,Never,Never,Between two and five days,12,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,No,No,,No,,No,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",smart.7.5.2.,Yes,,Fully rolled-out,Yes,Other
12/6/2022 18:51:56,,RN Pampa Galeras Barbara D'Achille,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Very frequently,Very frequently,Always,Between two and five days,6,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Other",None of these items are recorded in the corresponding SMART Conservation Area,En actas y registros,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Carcass condition, Suspect cause of death, Other",None of these items are recorded in the corresponding SMART Conservation Area,Actas y registros,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Body condition, Suspect cause of injury",None of these items are recorded in the corresponding SMART Conservation Area,Actas y registros,No,,,,,Yes,Yes,Yes,No,,Numero de individuos,"It would add too much work or time to the patrol, Lack of expertise on how to properly record this information, Never thought about it, We use the default SMART data model which does not include sick, dead or injured wildlife",2.3.,No,No,Partially rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/6/2022 20:11:02,,Parque Nacional Sierra del Divisor,Agree,Neutral,Agree,Neutral,Neutral,Occasionally,Sometimes,Never,Between one to two days,18,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Carcass condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,No,,No,,En algunas ocasionas se registra el comportamiento de la especie,Lack of expertise on how to properly record this information,7.5.2,No,se viene implementando SMART Connect entre smart desktop del ANP y UOFMVyC,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/7/2022 11:35:37,,RVS LOS PANTANOS DE VILLA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very frequently,Very frequently,Always,Less than a day,6,Yes,Healthy wildlife is recorded in another way,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,no,"We use the default SMART data model which does not include sick, dead or injured wildlife",7.5.2,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/7/2022 12:32:07,,Refugio de Vida silvestre Laquipampa - SERNANP - Perú ,Strongly agree,Agree,Strongly agree,Agree,Agree,Sometimes,Rarely,Occasionally,Less than a day,20,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Sex, Body condition, Other",None of these items are recorded in the corresponding SMART Conservation Area,En la Ficha de patrullaje del Guardaparque ,Yes,Dead wildlife is recorded in another way,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",None of these items are recorded in the corresponding SMART Conservation Area,Ficha de patrullaje del Guardaparque ,No,,,,,No,,,,,Yes,Yes,Yes,Yes,Yes,Por el momento no referente a fauna silvestre. Pero respecto a flora silvestre si se registra y se reporta en el SMART móvil. ,"Dead, sick or injured wildlife are seldom found",SMART 6.3,No,No,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/7/2022 13:53:13,,Parque Nacional del Río Abiseo (Abiseo River's National Park from Peru),Agree,Strongly agree,Agree,Agree,Neutral,Rarely,Never,Very frequently,Between one to two days,3,No,,,,,Yes,Dead wildlife is recorded in another way,"Species, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,,Smart 6.3,No,No,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/7/2022 14:10:05,,"Parque Nacional Río Abiseo, Santuario Nacional de Calipuy, Reserva Nacional de Calipuy. Parque Nacional Huascarán, Parque Nacional Manu, etc.",Disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Sometimes,Very rarely,Occasionally,Between one to two days,5,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,Yes,No,"Se recopila datos de las, fecas,  plantas y hierbas que son alimento de la fauna","Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",SMART,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/7/2022 14:47:02,,Reserva Nacional Allpahuayo Mishana ,Agree,Agree,Agree,Agree,Agree,Rarely,Very rarely,Never,Between one to two days,26,Yes,Healthy wildlife is recorded in another way,Photographs,None of these items are recorded in the corresponding SMART Conservation Area,Block note or photos,No,,,,,No,,,,,No,,,,,Yes,No,,No,,No,"We use the default SMART data model which does not include sick, dead or injured wildlife",7.5.2,Yes,,Fully rolled-out,Yes,Other
12/7/2022 16:32:39,,Reserva Nacional Tambopata,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Occasionally,Very rarely,Always,Between one to two days,8,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,No,,No,,"no, solo se registra mientras se puede diferencias el seco y cantidad","Dead, sick or injured wildlife are seldom found",6.3,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/8/2022 9:08:11,,Mambo Phillip,Agree,Disagree,Agree,Neutral,Neutral,Occasionally,Occasionally,Very frequently,Between two and five days,2,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Species,Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,Yes,Yes,Yes,Yes,YES,"Lack of expertise on how to properly record this information, Never thought about it",3.1,No,NO,Partially rolled-out,Yes,Other
12/8/2022 18:50:44,,Parque Nacional de Cutervo,Strongly agree,Neutral,Neutral,Agree,Agree,Very rarely,Very rarely,Occasionally,Less than a day,25,No,,,,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,"No, por el momento","Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3.0,No,Por la Sede Central del SERNANP,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/8/2022 19:08:49,,Parque Nacional Bahuaja Sonene,Strongly agree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Very rarely,Very rarely,Never,Between two and five days,16,No,,,,,No,,,,,No,,,,,No,,,,,No,No,,No,,si,"We use the default SMART data model which does not include sick, dead or injured wildlife",6.3.0.,No,"Aun no, las configuraciones lo realiza sede central",Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
12/8/2022 23:48:53,,"Srepok Wildlife Sanctuary, Phnom Prich Wildlife Sanctuary",Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very frequently,Occasionally,Very frequently,Between four days and a week,20,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Species, Age, Sex, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,"Data collection can be inconsistent on some of these aspects (e.g., I selected ""yes"" for if domestic animal sightings are recorded but I believe this is only done sometimes and not at all in some cases). Observations of wild meat (for sale or in the possession of poachers) is also recorded which could be relevant. ","We use the default SMART data model which does not include sick, dead or injured wildlife",7,Yes,,Fully rolled-out,Yes,Other
12/13/2022 17:19:05,,"Parque Nacional Zona Marina Archipiélago de Espíritu Santo,",Somewhat Disagree,Disagree,Strongly disagree,Somewhat Disagree,Strongly disagree,Always,Occasionally,Never,Between two and five days,4,Yes,Each individual healthy animal is recorded as an individual observation,Photographs,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,Photographs,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),Photographs,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),Photographs,All of these items are entered and stored in the corresponding SMART Conservation Area,,No,No,,No,,"NO, solo fotos, las características y el padecimiento de cada animal.","Dead, sick or injured wildlife are seldom found",4.1.0.201612211110,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/13/2022 18:39:56,,PARQUE NACIONAL CAÑÓN DEL SUMIDERO,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Rarely,Very rarely,Rarely,Less than a day,20,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Sex",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Sex, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Body condition",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,Yes,No,"RASTROS, HUELLAS, EXCRETAS","Dead, sick or injured wildlife are seldom found",4.1.0.201612211110,Yes,,Partially rolled-out,Yes,Other
12/13/2022 19:26:46,,Área de Protección de Flora y Fauna Bavispe,Strongly agree,Neutral,Agree,Agree,Strongly agree,Very frequently,Occasionally,Very frequently,Between one to two days,4,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,No,Lack of expertise on how to properly record this information,4.1.0,Yes,,Fully rolled-out,No,Other
12/14/2022 12:57:55,,"San Felipe de León
San Antonio Analco",Agree,Neutral,Disagree,Neutral,Neutral,Rarely,Very rarely,Occasionally,Less than a day,2,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,Yes,Yes,No,,sí,"Dead, sick or injured wildlife are seldom found",4.1.0.2016122,No,desconozco,Under pilot,Yes,I am directly responsible for managing SMART data in one or more protected areas
